Unique,episode_title ,episode_length,season,location_episodes,characters_episodes,male_characters,episode_awards,female_characters,ratings_episodes,rachel_mc,monica_mc,phoebe_mc,episode_runtime,joey_mc,chandler_mc,ross_mc,episode_type,location_episode,mem_relationship,cp_visit,guest_stars,episode_runtime
F008 15,The One with the Birthing Video ,22,8,7,8,5,0,7,8.2,1,0,1,1,1,1,1,1,1,1,2,0,1
F008 16,The One Where Joey Tells Rachel ,22,8,7,8,6,0,5,8.1,1,0,0,1,1,1,1,1,1,1,2,0,1
F008 17,The One with the Tea Leaves,22,8,6,8,6,0,6,7.9,0,0,0,1,1,1,0,1,1,1,3,0,1
F008 18 ,The One in Massapequa ,22,8,7,7,6,0,7,8,0,0,0,1,0,0,0,1,1,2,1,1,1
F008 19 ,The One with Joey's Interview ,22,8,7,8,5,0,5,7.2,0,0,0,1,1,0,0,1,3,0,2,0,1
F008 20 ,The One with the Baby Shower ,22,8,6,8,6,2,8,8.1,1,0,0,1,1,1,1,1,1,1,2,0,1
F008 21,The One with the Cooking Class,22,8,7,8,5,0,6,8,1,1,0,1,1,0,1,1,4,2,2,0,1
F008 22,The One Where Rachel Is Late ,22,8,7,7,6,0,6,8.2,1,0,0,1,1,1,0,1,1,1,2,0,1
F008 23,The One Where Rachel Has a Baby: Part 1,22,8,7,8,5,0,10,8.7,1,0,0,1,0,0,1,1,4,1,1,1,2
F008 24,The One Where Rachel Has A Baby: Part 2 ,22,8,7,8,6,0,11,8.8,1,0,0,1,0,0,0,1,4,1,1,1,2
F009 1,The One Where No One Proposes,22,9,7,7,6,0,6,8.5,1,0,0,1,1,1,1,1,4,1,2,0,1
F009 2 ,The One Where Emma Cries,22,9,6,7,6,0,7,8.4,1,0,0,1,0,1,0,1,1,1,2,0,1
F009 3,The One with the Pediatrician ,22,9,7,8,5,0,6,8.1,1,0,0,1,1,1,0,1,1,3,3,1,1
F009 4,The One with the Sharks ,22,9,7,8,6,0,5,8,0,0,0,1,0,1,0,1,1,2,2,0,1
F009 5 ,The One with Phoebe's Birthday Dinner ,22,9,6,8,5,0,6,8.3,0,0,1,1,0,0,0,1,4,2,2,0,1
F009 6,The One with the Male Nanny,22,9,7,7,6,0,5,8.2,0,0,0,1,0,1,1,1,1,1,3,1,1
F009 7,The One with Ross's Inappropriate Song ,22,9,7,8,5,0,4,8.5,0,0,0,1,1,1,1,1,1,1,2,0,1
F009 8,The One with Rachel's Other Sister,22,9,6,8,6,0,7,8.7,1,0,0,1,0,0,0,1,4,1,1,1,1
F009 9,The One with Rachel's Phone Number,22,9,7,8,6,0,5,8,1,0,0,1,0,0,0,2,4,1,3,0,1
F009 10,The One with Christmas in Tulsa,22,9,7,8,5,0,5,7.2,1,0,0,1,0,1,0,1,4,2,1,0,1
F009 11,The One Where Rachel Goes Back to Work ,22,9,6,8,6,0,6,7.8,1,0,0,1,1,1,0,1,3,1,2,0,1
F009 12,The One with Phoebe's Rats,22,9,7,8,6,0,5,7.7,0,0,1,1,1,0,1,1,1,3,2,1,1
F009 13,The One Where Monica Sings ,22,9,7,8,5,0,4,7.9,0,1,0,1,1,1,0,1,4,2,2,0,1
F009 14,The One with the Blind Dates,22,9,6,7,6,0,6,8,1,0,0,1,1,1,1,1,4,1,3,0,1
F009 15,The One with the Mugging ,22,9,7,8,6,0,5,8.1,0,0,0,1,1,1,1,1,3,3,2,0,1
F009 16,The One with the Boob Job ,22,9,7,8,5,0,5,8,0,0,0,1,1,1,0,1,1,2,2,0,1
F009 17,The One with the Memorial Service ,22,9,6,8,6,0,6,8.3,0,0,0,1,0,1,1,1,1,1,2,0,1
F009 18 ,The One with the Lottery ,22,9,7,7,5,0,5,8.5,0,0,0,1,0,1,0,1,1,2,2,0,1
F009 19 ,The One with Rachel's Dream ,22,9,7,8,6,0,5,7.9,1,0,0,1,1,1,1,1,4,1,2,0,1
F009 20 ,The One with the Soap Opera Party,22,9,6,8,6,0,6,8.1,0,0,0,1,1,0,1,1,4,1,2,1,1
F009 21,The One with the Fertility Test ,22,9,7,8,5,0,6,8.1,1,0,0,1,1,1,1,1,4,2,1,0,1
